effective_time,predispatch_seqno,run_no,region_id,period_id,rrp,eep,total_demand,intervention,source_file
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,77.92941,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,78.52,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,77.84938,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,72.68693,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,78.52,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,QLD1,,72.70475,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,SA1,,55.21733,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,SA1,,32.57685,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,SA1,,0.01093,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,SA1,,-3.46142,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,SA1,,-8.0,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,SA1,,-22.17772,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,SA1,,-26.6266,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
2026-09-15 07:00:00,2026-09-01 05:00:06,1,SA1,,-20.0,0,,0,PUBLIC_PREDISPATCHIS_202609150700_20260915063154.zip
