C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2026/09/04,03:55:33,0000000535968557,P5MIN,0000000535968554
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BASTYAN,"2026/09/04 04:55:00",-91.42,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BBATTERY1,"2026/09/04 04:00:00",-60.56,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BBATTERY1,"2026/09/04 04:05:00",-28.34,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BBATTERY1,"2026/09/04 04:10:00",-20.89,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BBATTERY1,"2026/09/04 04:15:00",-22.26,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BBATTERY1,"2026/09/04 04:20:00",-21.14,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BBATTERY1,"2026/09/04 04:25:00",-21.5,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BBATTERY1,"2026/09/04 04:30:00",-23.25,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BBATTERY1,"2026/09/04 04:35:00",-10.69,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BBATTERY1,"2026/09/04 04:40:00",-11.24,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BBATTERY1,"2026/09/04 04:45:00",-27.7,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BBATTERY1,"2026/09/04 04:50:00",-32.23,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BBATTERY1,"2026/09/04 04:55:00",-32.74,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDBES1,"2026/09/04 04:00:00",-58.72,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDBES1,"2026/09/04 04:05:00",-27.48,1,"2026/09/04 03:55:31"
