C,NEMP.WORLD,DISPATCHIS,AEMO,PUBLIC,2026/09/04,03:50:08,0000000535967869,DISPATCHIS,0000000535967868
I,DISPATCH,CASE_SOLUTION,2,SETTLEMENTDATE,RUNNO,INTERVENTION,CASESUBTYPE,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED,SWITCHRUNINITIALSTATUS,SWITCHRUNBESTSTATUS,SWITCHRUNBESTSTATUS_INT
D,DISPATCH,CASE_SOLUTION,2,"2026/09/04 03:55:00",1,0,,1,,0,-51665408.0550,0,0,0,0,0.28,,,,,0,0,0,"2026/09/04 03:50:03",1,1,
I,DISPATCH,LOCAL_PRICE,1,SETTLEMENTDATE,DUID,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",WOOLES1,2.5,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",WOOLGSF1,2.5,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",YABULU,-7.61,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",YABULU2,-7.61,1
I,DISPATCH,PRICE,5,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,PRE_AP_RAISE1_PRICE,PRE_AP_LOWER1_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_RAISE1_PRICE,CUMUL_PRE_AP_LOWER1_PRICE,OCD_STATUS,MII_STATUS
D,DISPATCH,PRICE,5,"2026/09/04 03:55:00",1,NSW1,20260903287,0,114.54,0,114.54,0,0,"2026/09/04 03:50:03",0.05,0.05,0,0.04,0.04,0,0.01,0.01,0,2.58,2.58,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,0.37,0.37,0,FIRM,114.54,0.05,0.04,0.01,2.58,0.01,0.01,0.01,0.37,0.02,0.02,0,0,0,0,0.02,0,118261.280970,78.34,69.462540,22.030120,6955.570690,67.849870,106.292120,62.909960,2904.765490,31.39,0.91,NOT_OCD,NOT_MII
D,DISPATCH,PRICE,5,"2026/09/04 03:55:00",1,QLD1,20260903287,0,94.81489,0,94.81489,0,0,"2026/09/04 03:50:03",0.05,0.05,0,0.04,0.04,0,0.01,0.01,0,2.58,2.58,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,0.37,0.37,0,FIRM,94.81489,0.05,0.04,0.01,2.58,0.01,0.01,0.01,0.37,0.02,0.02,0,0,0,0,0.02,0,98026.860880,74.78,66.030120,21.520120,6955.570690,67.849870,106.292120,62.909960,2904.765490,31.19,0.91,NOT_OCD,NOT_MII
D,DISPATCH,PRICE,5,"2026/09/04 03:55:00",1,SA1,20260903287,0,101.02,0,101.02,0,0,"2026/09/04 03:50:03",0.05,0.05,0,0.04,0.04,0,0.01,0.01,0,2.58,2.58,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,0.37,0.37,0,FIRM,101.02,0.05,0.04,0.01,2.58,0.01,0.01,0.01,0.37,0.02,0.02,0,0,0,0,0.02,0,112750.898040,78.34,69.462540,22.030120,6955.570690,68.909870,107.252120,62.909960,2904.765490,31.39,1.91,NOT_OCD,NOT_MII
D,DISPATCH,PRICE,5,"2026/09/04 03:55:00",1,TAS1,20260903287,0,99.44514,0,99.44514,0,0,"2026/09/04 03:50:03",0.05,0.05,0,0.04,0.04,0,0.01,0.01,0,4.46,4.46,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,1.6,1.6,0,FIRM,99.44514,0.05,0.04,0.01,4.46,0.01,0.01,0.01,1.6,0.02,0.02,0,0,0,0,0.02,0,92067.991270,1261.827750,483.151130,54.120120,10595.366790,539.9511,144.862940,62.369960,12247.097370,30.26,0.86,NOT_OCD,NOT_MII
D,DISPATCH,PRICE,5,"2026/09/04 03:55:00",1,VIC1,20260903287,0,108.29047,0,108.29047,0,0,"2026/09/04 03:50:03",0.05,0.05,0,0.04,0.04,0,0.01,0.01,0,2.58,2.58,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,0.37,0.37,0,FIRM,108.29047,0.05,0.04,0.01,2.58,0.01,0.01,0.01,0.37,0.02,0.02,0,0,0,0,0.02,0,97066.8840,78.34,69.462540,22.030120,6955.570690,67.849870,106.292120,62.909960,2904.765490,31.39,0.91,NOT_OCD,NOT_MII
